"IWavePhi [deg]","Phase [deg]","Freq [GHz]","IWaveTheta [deg]","L1RE []","IWaveTheta [deg]","L1IM []","IWaveTheta [deg]","L2RE []","IWaveTheta [deg]","L2IM []","IWaveTheta [deg]","L3RE []","IWaveTheta [deg]","L3IM []","IWaveTheta [deg]","L4RE []","IWaveTheta [deg]","L4IM []","IWaveTheta [deg]","L5RE []","IWaveTheta [deg]","L5IM []","IWaveTheta [deg]","L6RE []","IWaveTheta [deg]","L6IM []","IWaveTheta [deg]","L7RE []","IWaveTheta [deg]","L7IM []","IWaveTheta [deg]","L8RE []","IWaveTheta [deg]","L8IM []"
0,0,2.5,-53.4,-4.60709371744988E-05,-53.4,0.00125622376067414,-53.4,0.00123966372493084,-53.4,0.000240376674619813,-53.4,0.000525124112629181,-53.4,-0.00122745271533358,-53.4,-0.00101663721250211,-53.4,-0.000678514212853412,-53.4,-0.000869670324333709,-53.4,0.000961130847044433,-53.4,0.000911380070564227,-53.4,0.0011364583632139,-53.4,0.00123449968783038,-53.4,-0.000535395766629259,-53.4,-0.000320331179476282,-53.4,-0.00120316172125213
0,0,2.5,-53.2,-2.74544683684993E-05,-53.2,0.00125677287787965,-53.2,0.00124203260306928,-53.2,0.000226815978616194,-53.2,0.000515892774901241,-53.2,-0.00123163220300168,-53.2,-0.00101905993190491,-53.2,-0.000674756467684077,-53.2,-0.000869507043578539,-53.2,0.000961316106455109,-53.2,0.000907171120371462,-53.2,0.00113913374066836,-53.2,0.00123780265546353,-53.2,-0.000527153172749168,-53.2,-0.000307338979150125,-53.2,-0.00120703280404159
0,0,2.5,-53,-8.75950684661471E-06,-53,0.00125705168417306,-53,0.00124426187636003,-53,0.00021318185637113,-53,0.000506600330853892,-53,-0.00123575643513735,-53,-0.00102147443471303,-53,-0.000670981489311592,-53,-0.000869354282504899,-53,0.000961492956250717,-53,0.000902912892074771,-53,0.00114182001567785,-53,0.00124106602557117,-53,-0.000518831753084484,-53,-0.000294235922185783,-53,-0.00121078121180394
0,0,2.5,-52.8,1.00097414628507E-05,-52.8,0.00125705697425189,-52.8,0.00124634971575439,-52.8,0.00019947585096786,-52.8,0.000497247139931954,-52.8,-0.00123982439825177,-52.8,-0.00102388062479269,-52.8,-0.000667189310575481,-52.8,-0.000869212078466464,-52.8,0.000961661413545828,-52.8,0.000898605219424399,-52.8,0.00114451681909371,-52.8,0.00124428856789039,-52.8,-0.000510431478378719,-52.8,-0.000281023077262254,-52.8,-0.00121440401488371
0,0,2.5,-52.6,2.88489733133127E-05,-52.6,0.00125678554459435,-52.6,0.00124829423589982,-52.6,0.000185699555882812,-52.6,0.00048783354273819,-52.6,-0.00124383508050704,-52.6,-0.00102627834832225,-52.6,-0.000663380005647332,-52.6,-0.000869080466443856,-52.6,0.000961821470380155,-52.6,0.000894247968785465,-52.6,0.00114722379311357,-52.6,0.00124746903916481,-52.6,-0.000501952416830779,-52.6,-0.000267701538028703,-52.6,-0.00121789836137804
0,0,2.5,-52.4,4.77537911338165E-05,-52.4,0.00125623423914915,-52.4,0.00125009354943927,-52.4,0.000171854577673702,-52.4,0.000478359950936058,-52.4,-0.00124778758033023,-52.4,-0.00102866746830552,-52.4,-0.000659553496628479,-52.4,-0.000868959445926152,-52.4,0.000961973136678558,-52.4,0.000889841007907515,-52.4,0.0011499406077353,-52.4,0.00125060606466372,-52.4,-0.000493394596953681,-52.4,-0.000254272484522586,-52.4,-0.00122126126733233
0,0,2.5,-52.2,6.67197012881571E-05,-52.2,0.00125539995536204,-52.2,0.00125174574625817,-52.2,0.000157942593999108,-52.2,0.000468826732861582,-52.2,-0.00125168082106575,-52.2,-0.00103104778493108,-52.2,-0.000655709823350341,-52.2,-0.000868849035138221,-52.2,0.000962116406754467,-52.2,0.000885384118686216,-52.2,0.00115266686801135,-52.2,0.00125369840547419,-52.2,-0.000484758099555364,-52.2,-0.000240737135871566,-52.2,-0.0012244898730771
0,0,2.5,-52,8.57421173021953E-05,-52,0.00125427967641585,-52,0.00125324908155557,-52,0.000143965292362173,-52,0.000459234306223885,-52,-0.00125551388496785,-52,-0.00103341916529559,-52,-0.000651849041202242,-52,-0.000868749311171452,-52,0.000962251287963747,-52,0.00088087721167838,-52,0.00115540219041138,-52,0.00125674476654129,-52,-0.00047604300166352,-52,-0.000227096764242982,-52,-0.00122758125733989
0,0,2.5,-51.8,0.000104816352096324,-51.8,0.00125287047956933,-51.8,0.00125460163962829,-51.8,0.000129924430120803,-51.8,0.000449583079343232,-51.8,-0.00125928575933743,-51.8,-0.00103578151796448,-51.8,-0.000647971120736893,-51.8,-0.000868660211917563,-51.8,0.000962377741921781,-51.8,0.000876320126791905,-51.8,0.00115814627757319,-51.8,0.00125974382231799,-51.8,-0.000467249415152274,-51.8,-0.00021335270944776,-51.8,-0.00123053251117459
0,0,2.5,-51.6,0.000123937640366077,-51.6,0.00125116947391901,-51.6,0.00125580165469871,-51.6,0.000115821773807872,-51.6,0.000439873518753754,-51.6,-0.00126299548597186,-51.6,-0.00103813465385522,-51.6,-0.00064407609364243,-51.6,-0.000868581824939446,-51.6,0.00096249579686959,-51.6,0.000871712715136103,-51.6,0.00116089870277859,-51.6,0.00126269427597974,-51.6,-0.000458377440582572,-51.6,-0.00019950637884917,-51.6,-0.00123334064823099
0,0,2.5,-51.4,0.00014310110655427,-51.4,0.00124917382954032,-51.4,0.0012568472988764,-51.4,0.00010165915226909,-51.4,0.000430106042395352,-51.4,-0.00126664207921722,-51.4,-0.0010404783885287,-51.4,-0.000640163975062061,-51.4,-0.000868514144875908,-51.4,0.000962605432395319,-51.4,0.000867054884611065,-51.4,0.00116365913347472,-51.4,0.00126559480957459,-51.4,-0.000449427234419476,-51.4,-0.000185559218417591,-51.4,-0.00123600284194439
0,0,2.5,-51.2,0.000162301805085544,-51.2,0.00124688082250929,-51.2,0.00125773684204715,-51.2,8.74384199648224E-05,-51.2,0.000420281114561765,-51.2,-0.0012702245433641,-51.2,-0.00104281262967359,-51.2,-0.000636234799039392,-51.2,-0.000868457203777927,-51.2,0.000962706678563372,-51.2,0.000862346467044373,-51.2,0.00116642714508427,-51.2,0.00126844410988869,-51.2,-0.000440398933348866,-51.2,-0.000171512744815302,-51.2,-0.00123851616370297
0,0,2.5,-51,0.000181534667179363,-51,0.00124428787171212,-51,0.00125846849130561,-51,7.31614738176992E-05,-51,0.000410399208654457,-51,-0.0012737419020029,-51,-0.00104513720815966,-51,-0.0006322885438791,-51,-0.000868411037142182,-51,0.000962799492035333,-51,0.000857587358909421,-51,0.00116920237603057,-51,0.0012712408591633,-51,-0.000431292695877714,-51,-0.000157368519993945,-51,-0.00124087773843477
0,0,2.5,-50.8,0.000200794565975039,-50.8,0.0012413923124128,-50.8,0.00125904054220851,-50.8,5.88302521819542E-05,-50.8,0.000400460836251366,-50.8,-0.00127719318841512,-50.8,-0.00104745193120955,-50.8,-0.000628325262289042,-50.8,-0.000868375610844117,-50.8,0.000962883863736998,-50.8,0.000852777444560938,-50.8,0.00117198442630707,-50.8,0.00127398369577493,-50.8,-0.000422108744456522,-50.8,-0.000143128195220972,-50.8,-0.00124308461122408
0,0,2.5,-50.6,0.000220076268126495,-50.6,0.00123819177887197,-50.6,0.00125945128358859,-50.6,4.44467265835891E-05,-50.6,0.000390466474541997,-50.6,-0.00128057742873816,-50.6,-0.0010497567470179,-50.6,-0.000624344988249246,-50.6,-0.000868351013498697,-50.6,0.000962959825871662,-50.6,0.000847916558013439,-50.6,0.00117477291201646,-50.6,0.00127667133409509,-50.6,-0.000412847280808091,-50.6,-0.00012879345541672,-50.6,-0.00124513392883065
0,0,2.5,-50.4,0.00023937446610344,-50.4,0.00123468377010822,-50.4,0.00125969902665446,-50.4,3.00129136898945E-05,-50.4,0.000380416653285198,-50.4,-0.00128389364702259,-50.4,-0.00105205142103293,-50.4,-0.000620347705185412,-50.4,-0.000868337204901356,-50.4,0.000963027366088962,-50.4,0.00084300470247943,-50.4,0.00117756743458883,-50.4,0.00127930241860544,-50.4,-0.000403508496299049,-50.4,-0.000114366062970157,-50.4,-0.00124702281817095
0,0,2.5,-50.2,0.000258683754876391,-50.2,0.00123086610046012,-50.2,0.00125978211229359,-50.2,1.5530864223752E-05,-50.2,0.000370311900190709,-50.2,-0.00128714090451267,-50.2,-0.00105433582719077,-50.2,-0.000616333487210442,-50.2,-0.000868334218655458,-50.2,0.000963086439643907,-50.2,0.000838041663442531,-50.2,0.00118036761601599,-50.2,0.00128187560250526,-50.2,-0.00039409265533128,-50.2,-9.98478311135563E-05,-50.2,-0.00124874841310996
